Date,LT Composite > 10 Yrs,Treasury 20-Yr CMT,Extrapolation Factor
8/22/14,-0.006825939,-0.006849315,
8/21/14,-0.010135135,-0.010169492,
8/20/14,0.003389831,0.003401361,
8/19/14,0.006825939,0.006849315,
8/18/14,0.020905923,0.020979021,
8/15/14,-0.020477816,-0.023890785,
8/14/14,-0.016778523,-0.013468013,
8/13/14,-0.009966777,-0.01,
8/12/14,0.010067114,0.01010101,
8/11/14,0.003367003,0,
8/8/14,0,0,
8/7/14,-0.013289037,-0.013289037,
8/6/14,-0.003311258,-0.003311258,
8/5/14,-0.00330033,-0.006578947,
8/4/14,0,0.00330033,
8/1/14,-0.013029316,-0.013029316,
7/31/14,0.003267974,0.003267974,
7/30/14,0.03030303,0.03030303,
7/29/14,-0.013289037,-0.013289037,
7/28/14,0.006688963,0.006688963,
7/25/14,-0.016447368,-0.016447368,
7/24/14,0.013333333,0.013333333,
7/23/14,0,0,
7/22/14,0,-0.003322259,
7/21/14,-0.00990099,-0.00660066,
7/18/14,0.006644518,0.006644518,
7/17/14,-0.022727273,-0.022727273,
7/16/14,-0.006451613,-0.006451613,
7/15/14,0,0,
7/14/14,0.009771987,0.009771987,
7/11/14,-0.009677419,-0.009677419,
7/10/14,0,0,
7/9/14,-0.006410256,-0.006410256,
7/8/14,-0.015772871,-0.015772871,
7/7/14,-0.009375,-0.012461059,
7/3/14,0,0.003125,
7/2/14,0.022364217,0.022364217,
7/1/14,0.016233766,0.016233766,
6/30/14,-0.003236246,-0.006451613,
6/27/14,0.003246753,0.006493506,
6/26/14,-0.012820513,-0.012820513,
6/25/14,-0.006369427,-0.006369427,
6/24/14,-0.012578616,-0.012578616,
6/23/14,0,0,
6/20/14,-0.00625,-0.00625,
6/19/14,0.012658228,0.012658228,
6/18/14,-0.006289308,-0.009404389,
6/17/14,0.012738854,0.015923567,
6/16/14,0,0,
6/13/14,0,0,
6/12/14,-0.01875,-0.01875,
6/11/14,0,0,
6/10/14,0.009463722,0.006289308,
6/9/14,0.003164557,0.003154574,
6/6/14,0,0,
6/5/14,-0.006289308,-0.003144654,
6/4/14,0.006329114,0.003154574,
6/3/14,0.019354839,0.022580645,
6/2/14,0.016393443,0.016393443,
5/30/14,0.00660066,0.00660066,
5/29/14,0.006644518,0.006644518,
5/28/14,-0.025889968,-0.025889968,
5/27/14,-0.009615385,-0.009615385,
5/23/14,-0.006369427,-0.00952381,
5/22/14,0.003194888,0.006389776,
5/21/14,0.012944984,0.009677419,
5/20/14,-0.003225806,-0.003215434,
5/19/14,0.009771987,0.013029316,
5/16/14,0.006557377,0.006557377,
5/15/14,-0.012944984,-0.012944984,
5/14/14,-0.022151899,-0.025236593,
5/13/14,-0.0125,-0.012461059,
5/12/14,0.006289308,0.009433962,
5/9/14,0.006329114,0.003154574,
5/8/14,0.006369427,0.016025641,
5/7/14,0.006410256,-0.003194888,
5/6/14,-0.00952381,-0.009493671,
5/5/14,0.012861736,0.012820513,
5/2/14,-0.012698413,-0.012658228,
5/1/14,-0.018691589,-0.01863354,
4/30/14,-0.009259259,-0.009230769,
4/29/14,0.00621118,0.00619195,
4/28/14,0.00625,0.009375,
4/25/14,-0.003115265,-0.00621118,
4/24/14,-0.00310559,0,
4/23/14,-0.009230769,-0.009230769,
4/22/14,-0.006116208,-0.006116208,
4/21/14,0,0,
4/17/14,0.021875,0.021875,
4/16/14,0,0,
4/15/14,-0.00621118,-0.009287926,
4/14/14,0.003115265,0.00310559,
4/11/14,-0.009259259,-0.00617284,
4/10/14,-0.018181818,-0.021148036,
4/9/14,0.009174312,0.009146341,
4/8/14,-0.006079027,-0.006060606,
4/7/14,-0.012012012,-0.009009009,
4/4/14,-0.011869436,-0.014792899,
4/3/14,-0.005899705,-0.005882353,
4/2/14,0.01497006,0.014925373,
4/1/14,0.009063444,0.012084592,
