Date,Close/Last,Volume,Open,High,Low
4/30/21,$325.08 ,26332420,$326.14 ,$329.82 ,$324.50 
4/29/21,$329.51 ,56526770,$330.12 ,$331.81 ,$321.61 
4/28/21,$307.10 ,33907210,$307.36 ,$310.92 ,$305.37 
4/27/21,$303.57 ,15309260,$304.28 ,$305.34 ,$301.11 
4/26/21,$303.04 ,16172590,$303.34 ,$305.80 ,$301.56 
4/23/21,$301.13 ,17559500,$298.76 ,$302.59 ,$297.15 
4/22/21,$296.52 ,16375350,$301.33 ,$302.92 ,$296.04 
4/21/21,$301.47 ,14863470,$301.95 ,$301.98 ,$297.39 
4/20/21,$302.65 ,16796440,$301.99 ,$305.10 ,$297.21 
4/19/21,$302.24 ,14553510,$305.01 ,$307.70 ,$300.56 
4/16/21,$306.18 ,13059160,$308.17 ,$308.95 ,$304.61 
4/15/21,$307.82 ,14558270,$306.34 ,$310.14 ,$304.10 
4/14/21,$302.82 ,17421390,$307.30 ,$308.03 ,$301.95 
4/13/21,$309.76 ,14036930,$312.21 ,$314.43 ,$309.32 
4/12/21,$311.54 ,10881940,$311.05 ,$312.15 ,$307.93 
4/9/21,$312.46 ,15988570,$311.40 ,$314.74 ,$310.33 
4/8/21,$313.02 ,20894150,$314.85 ,$315.88 ,$310.05 
4/7/21,$313.09 ,22855240,$306.34 ,$314.25 ,$305.50 
4/6/21,$306.26 ,17335250,$308.84 ,$311.35 ,$305.25 
4/5/21,$308.91 ,28237010,$300.89 ,$310.77 ,$300.68 
4/1/21,$298.66 ,17615980,$298.40 ,$302.40 ,$296.60 
3/31/21,$294.53 ,19498160,$289.99 ,$296.50 ,$288.61 
3/30/21,$288.00 ,17474540,$289.83 ,$292.47 ,$286.70 
3/29/21,$290.82 ,21718830,$285.77 ,$293.18 ,$284.70 
3/26/21,$283.02 ,17629190,$278.30 ,$284.50 ,$277.77 
3/25/21,$278.74 ,24505650,$280.98 ,$288.06 ,$277.75 
3/24/21,$282.14 ,18675050,$291.00 ,$291.72 ,$281.16 
3/23/21,$290.63 ,23000930,$293.15 ,$298.00 ,$289.81 
3/22/21,$293.54 ,28273070,$290.45 ,$299.71 ,$286.75 
3/19/21,$290.11 ,38930540,$281.22 ,$292.80 ,$281.20 
3/18/21,$278.62 ,18754850,$279.87 ,$285.19 ,$278.28 
3/17/21,$284.01 ,21315040,$275.71 ,$286.23 ,$275.41 
3/16/21,$279.28 ,22437670,$276.09 ,$282.14 ,$274.80 
3/15/21,$273.75 ,16856750,$269.08 ,$275.96 ,$268.50 
3/12/21,$268.40 ,20600200,$269.14 ,$269.74 ,$264.02 
3/11/21,$273.88 ,21833980,$268.11 ,$277.90 ,$267.82 
3/10/21,$264.90 ,14210320,$268.64 ,$268.97 ,$262.87 
3/9/21,$265.74 ,22039740,$261.18 ,$268.53 ,$259.81 
3/8/21,$255.31 ,18391770,$265.55 ,$265.58 ,$255.05 
3/5/21,$264.28 ,26820060,$260.67 ,$265.45 ,$255.61 
3/4/21,$257.64 ,31626460,$256.47 ,$266.49 ,$253.50 
3/3/21,$255.41 ,15513520,$260.29 ,$260.99 ,$255.10 
3/2/21,$259.00 ,15191720,$265.78 ,$266.71 ,$258.65 
3/1/21,$264.91 ,22157260,$260.82 ,$266.65 ,$257.90 
2/26/21,$257.62 ,26619520,$256.47 ,$265.55 ,$256.47 
2/25/21,$254.69 ,19053140,$262.30 ,$266.94 ,$254.04 
2/24/21,$264.31 ,15736120,$262.33 ,$266.38 ,$258.39 
2/23/21,$265.86 ,21924560,$259.50 ,$267.46 ,$254.96 
2/22/21,$260.33 ,17434870,$257.95 ,$263.07 ,$257.53 
2/19/21,$261.56 ,25622590,$269.86 ,$270.27 ,$260.15 
2/18/21,$269.39 ,15249130,$269.57 ,$271.95 ,$266.03 
